id;name;suhu;kelembaban;cahaya;keran;date
1544;syarif;27;95;0,044444444;46.84;04/08/20 11.16
1545;syarif;27;95;00.49;51.19.00;04/08/20 11.16
1546;syarif;27;95;00.49;51.19.00;04/08/20 11.17
1547;syarif;27;95;0,044444444;46.84;04/08/20 11.17
1548;syarif;27;95;0,044444444;46.84;04/08/20 11.17
1549;syarif;27;95;00.59;48.88;04/08/20 11.17
1550;syarif;27;95;00.59;48.88;04/08/20 11.18
1551;syarif;27;95;0,044444444;46.84;04/08/20 11.18
1552;syarif;27;95;0,044444444;46.84;04/08/20 11.18
1553;syarif;27;95;00.59;48.88;04/08/20 11.18
1554;syarif;27;95;00.59;48.88;04/08/20 11.19
1555;syarif;27;95;00.59;48.88;04/08/20 11.19
1556;syarif;27;95;00.49;51.19.00;04/08/20 11.19
1557;syarif;27;95;00.59;48.88;04/08/20 11.19
1558;syarif;27;95;00.59;48.88;04/08/20 11.20
1559;syarif;27;95;0,044444444;46.84;04/08/20 11.20
1560;syarif;27;95;0,044444444;46.84;04/08/20 11.20
1561;syarif;27;95;00.49;51.19.00;04/08/20 11.20
1562;syarif;27;95;00.49;51.19.00;04/08/20 11.21
1563;syarif;27;95;00.59;48.88;04/08/20 11.21
1564;syarif;27;95;00.59;48.88;04/08/20 11.21
1565;syarif;27;95;00.59;48.88;04/08/20 11.21
1566;syarif;27;95;0,044444444;46.84;04/08/20 11.22
1567;syarif;27;95;0,044444444;46.84;04/08/20 11.22
1568;syarif;27;95;00.59;48.88;04/08/20 11.22
1569;syarif;27;95;00.59;48.88;04/08/20 11.22
1570;syarif;27;95;0,044444444;46.84;04/08/20 11.23
1571;syarif;27;95;00.59;48.88;04/08/20 11.23
1572;syarif;27;95;0,044444444;46.84;04/08/20 11.23
1573;syarif;27;95;00.59;48.88;04/08/20 11.24
1574;syarif;27;95;00.59;48.88;04/08/20 11.24
1575;syarif;27;95;00.59;48.88;04/08/20 11.24
1576;syarif;27;95;0,044444444;46.84;04/08/20 11.24
1577;syarif;27;95;0,044444444;46.84;04/08/20 11.25
1578;syarif;27;95;00.59;48.88;04/08/20 11.25
1579;syarif;27;95;00.59;48.88;04/08/20 11.25
1580;syarif;27;95;00.59;48.88;04/08/20 11.25
1581;syarif;28;95;0,044444444;46.04.00;04/08/20 11.26
1582;syarif;28;95;0,044444444;46.04.00;04/08/20 11.26
1583;syarif;28;95;0,044444444;46.04.00;04/08/20 11.26
1584;syarif;28;95;00.59;47.56.00;04/08/20 11.26
1585;syarif;28;95;0,044444444;46.04.00;04/08/20 11.27
1586;syarif;28;95;0,044444444;46.04.00;04/08/20 11.27
1587;syarif;28;95;0,044444444;46.04.00;04/08/20 11.27
1588;syarif;28;95;00.49;50.53.00;04/08/20 11.27
1589;syarif;28;95;00.49;50.53.00;04/08/20 11.28
1590;syarif;28;95;00.39;52.35.00;04/08/20 11.28
1591;syarif;28;95;00.34;52.04.00;04/08/20 11.28
1592;syarif;28;95;00.34;52.04.00;04/08/20 11.28
1593;syarif;28;95;00.34;52.04.00;04/08/20 11.29
1594;syarif;28;95;00.34;52.04.00;04/08/20 11.29
1595;syarif;28;95;00.34;52.04.00;04/08/20 11.29
1596;syarif;28;95;00.34;52.04.00;04/08/20 11.30
1597;syarif;28;95;00.29;50.95;04/08/20 11.30
1598;syarif;28;95;00.39;52.35.00;04/08/20 11.30
1599;syarif;28;95;00.34;52.04.00;04/08/20 11.30
1600;syarif;28;95;00.29;50.95;04/08/20 11.31
1601;syarif;28;95;00.39;52.35.00;04/08/20 11.31
